Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-08-12,100.85,101.012,98.618,100.373,4714800,0.0,0.0
2020-08-13,100.449,102.061,100.354,101.613,4281700,0.0,0.0
2020-08-14,101.231,101.861,100.602,101.527,2985700,0.0,0.0
2020-08-17,101.594,101.594,100.278,100.793,3017000,0.0,0.0
2020-08-18,101.556,102.071,100.611,102.042,5023000,0.0,0.0
2020-08-19,102.729,104.637,102.405,103.397,9508100,0.0,0.0
2020-08-20,102.605,103.731,102.405,103.034,4304000,0.0,0.0
2020-08-21,103.025,104.713,102.786,104.694,5564000,0.0,0.0
2020-08-24,104.933,106.841,104.837,106.678,8173100,0.0,0.0
2020-08-25,106.841,107.108,105.972,106.373,4380900,0.0,0.0
2020-08-26,106.764,106.926,106.163,106.392,4477900,0.0,0.0
2020-08-27,106.831,107.594,105.41,105.734,4390800,0.0,0.0
2020-08-28,106.131,107.718,105.71,107.355,3731100,0.245,0.0
2020-08-31,107.211,107.574,106.255,106.972,3519800,0.0,0.0
2020-09-01,107.077,109.85,106.915,109.792,4912400,0.0,0.0
2020-09-02,110.003,112.249,109.467,111.666,6775400,0.0,0.0
2020-09-03,111.666,111.762,107.077,107.89,7264400,0.0,0.0
2020-09-04,107.995,108.75,105.366,107.46,5157600,0.0,0.0
2020-09-08,106.398,108.836,105.681,107.766,5300100,0.0,0.0
2020-09-09,108.052,111.102,107.871,109.85,5997900,0.0,0.0
2020-09-10,110.806,113.033,108.989,109.745,5032800,0.0,0.0
2020-09-11,111.628,114.009,111.303,112.814,8565200,0.0,0.0
2020-09-14,113.292,114.659,112.976,114.037,4990300,0.0,0.0
2020-09-15,114.439,115.185,113.942,114.028,5934200,0.0,0.0
2020-09-16,113.11,114.429,112.966,113.378,7023700,0.0,0.0
2020-09-17,112.183,113.339,110.71,111.246,7376400,0.0,0.0
2020-09-18,110.356,112.727,109.458,109.62,12876600,0.0,0.0
2020-09-21,107.985,109.047,106.829,108.387,8486400,0.0,0.0
2020-09-22,108.129,112.049,107.89,111.733,13007200,0.0,0.0
2020-09-23,124.496,124.649,119.754,121.523,37822700,0.0,0.0
2020-09-24,120.883,121.934,117.881,119.267,13485800,0.0,0.0
2020-09-25,118.215,119.267,116.896,118.77,9182800,0.0,0.0
2020-09-28,119.659,120.644,118.445,118.856,7525000,0.0,0.0
2020-09-29,118.875,121.514,118.512,120.797,7796400,0.0,0.0
2020-09-30,120.558,121.686,119.659,120.022,8699700,0.0,0.0
2020-10-01,122.116,122.116,119.802,121.074,5637200,0.0,0.0
2020-10-02,118.884,121.227,118.158,121.074,7491100,0.0,0.0
2020-10-05,121.485,122.852,120.892,122.288,8270300,0.0,0.0
2020-10-06,123.177,124.707,121.676,122.039,5978000,0.0,0.0
